city,cityLabel,location,locode
http://www.wikidata.org/entity/Q33427824,Q33427824,Point(8.58644 52.19837),
http://www.wikidata.org/entity/Q33427844,Q33427844,Point(8.55956 51.55109),
http://www.wikidata.org/entity/Q33529058,Q33529058,Point(11.67451 53.92221),
http://www.wikidata.org/entity/Q33529065,Q33529065,Point(13.54855 53.97709),
http://www.wikidata.org/entity/Q62158,Aach,Point(8.851666666 47.845555555),
http://www.wikidata.org/entity/Q300691,Aach (bei Trier),Point(6.59 49.791111111),
http://www.wikidata.org/entity/Q1017,Aachen,Point(6.0825 50.774167),
http://www.wikidata.org/entity/Q3951,Aalen,Point(10.093611111 48.837222222),
http://www.wikidata.org/entity/Q301056,Aarbergen,Point(8.072222222 50.246388888),
http://www.wikidata.org/entity/Q303389,Aasbüttel,Point(9.433333333 54.066666666),
http://www.wikidata.org/entity/Q261822,Abenberg,Point(10.966666666 49.25),
http://www.wikidata.org/entity/Q255698,Abensberg,Point(11.85 48.8),
http://www.wikidata.org/entity/Q255698,Abensberg,Point(11.8595 48.8109),
http://www.wikidata.org/entity/Q319254,Abentheuer,Point(7.103888888 49.649722222),
http://www.wikidata.org/entity/Q331886,Absberg,Point(10.883333333 49.15),
http://www.wikidata.org/entity/Q333149,Abstatt,Point(9.3 49.066666666),
http://www.wikidata.org/entity/Q334597,Abtsbessingen,Point(10.764166666 51.260833333),
http://www.wikidata.org/entity/Q334623,Abtsgmünd,Point(10.003888888 48.894166666),
http://www.wikidata.org/entity/Q334649,Abtsteinach,Point(8.785486111 49.544166666),
http://www.wikidata.org/entity/Q334658,Abtswind,Point(10.366666666 49.766666666),
http://www.wikidata.org/entity/Q334653,Abtweiler,Point(7.658055555 49.745277777),
http://www.wikidata.org/entity/Q385687,Achberg,Point(9.716944444 47.615),
http://www.wikidata.org/entity/Q373824,Achern,Point(8.073888888 48.631388888),
http://www.wikidata.org/entity/Q16143,Achim,Point(9.034166666 53.015277777),
http://www.wikidata.org/entity/Q262395,Achslach,Point(12.933333333 48.966666666),
http://www.wikidata.org/entity/Q340782,Achstetten,Point(9.8975 48.259722222),
http://www.wikidata.org/entity/Q340794,Acht (Eifel),Point(7.0725 50.370277777),
http://www.wikidata.org/entity/Q340899,Achtelsbach,Point(7.090833333 49.625555555),
http://www.wikidata.org/entity/Q340999,Achterwehr,Point(9.966666666 54.316666666),
http://www.wikidata.org/entity/Q341040,Achtrup,Point(9.033333333 54.783333333),
http://www.wikidata.org/entity/Q80480,Adelberg,Point(9.599722222 48.761944444),
http://www.wikidata.org/entity/Q354547,Adelebsen,Point(9.754444444 51.58),
http://www.wikidata.org/entity/Q354978,Adelheidsdorf,Point(10.060555555 52.565555555),
http://www.wikidata.org/entity/Q355264,Adelmannsfelden,Point(10.005277777 48.9525),
http://www.wikidata.org/entity/Q355390,Adelschlag,Point(11.216666666 48.833333333),
http://www.wikidata.org/entity/Q355402,Adelsdorf,Point(10.9 49.716666666),
http://www.wikidata.org/entity/Q355435,Adelsheim,Point(9.389166666 49.404722222),
http://www.wikidata.org/entity/Q355456,Adelshofen,Point(10.166666666 49.433333333),
http://www.wikidata.org/entity/Q254657,Adelshofen,Point(11.116666666 48.183333333),
http://www.wikidata.org/entity/Q355526,Adelsried,Point(10.716666666 48.416666666),
http://www.wikidata.org/entity/Q257338,Adelzhausen,Point(11.133333333 48.35),
http://www.wikidata.org/entity/Q183485,Adenau,Point(6.933333333 50.383333333),
http://www.wikidata.org/entity/Q355890,Adenbach,Point(7.647777777 49.670277777),
http://www.wikidata.org/entity/Q355904,Adenbüttel,Point(10.4525 52.380833333),
http://www.wikidata.org/entity/Q355913,Adendorf,Point(10.45 53.283333333),
http://www.wikidata.org/entity/Q356229,Adenstedt,Point(9.936388888 52.000277777),
http://www.wikidata.org/entity/Q252939,Adlkofen,Point(12.266666666 48.55),
http://www.wikidata.org/entity/Q358674,Admannshagen-Bargeshagen,Point(11.983333333 54.116666666),
http://www.wikidata.org/entity/Q46853,Adorf/Vogtl.,Point(12.266666666 50.316666666),
http://www.wikidata.org/entity/Q380485,Aebtissinwisch,Point(9.283333333 53.966666666),
http://www.wikidata.org/entity/Q381811,Aerzen,Point(9.265277777 52.049444444),
http://www.wikidata.org/entity/Q61647,Affalterbach,Point(9.321666666 48.921944444),
http://www.wikidata.org/entity/Q259662,Affing,Point(10.983333333 48.466666666),
http://www.wikidata.org/entity/Q382750,Affinghausen,Point(8.881388888 52.784166666),
http://www.wikidata.org/entity/Q382845,Affler,Point(6.153333333 50.014166666),
http://www.wikidata.org/entity/Q391337,Agathenburg,Point(9.529722222 53.563888888),
http://www.wikidata.org/entity/Q393098,Agethorst,Point(9.433333333 54.016666666),
http://www.wikidata.org/entity/Q394217,Aglasterhausen,Point(8.990277777 49.353888888),
http://www.wikidata.org/entity/Q253496,Aham,Point(12.466666666 48.533333333),
http://www.wikidata.org/entity/Q14888,Ahaus,Point(7.0 52.066666666),
http://www.wikidata.org/entity/Q400136,Ahausen,Point(9.314722222 53.064166666),
http://www.wikidata.org/entity/Q400380,Ahlbeck,Point(14.183333333 53.666666666),
http://www.wikidata.org/entity/Q400396,Ahlden (Aller),Point(9.554166666 52.761388888),
http://www.wikidata.org/entity/Q400424,Ahlefeld-Bistensee,Point(9.666666666 54.4),
http://www.wikidata.org/entity/Q1132,Ahlen,Point(7.891111111 51.763333333),
http://www.wikidata.org/entity/Q400503,Ahlerstedt,Point(9.452777777 53.406944444),
http://www.wikidata.org/entity/Q400556,Ahlsdorf,Point(11.466666666 51.549722222),
http://www.wikidata.org/entity/Q400574,Ahlstädt,Point(10.683055555 50.533055555),
http://www.wikidata.org/entity/Q402210,Ahnatal,Point(9.383333333 51.35),
http://www.wikidata.org/entity/Q402238,Ahneby,Point(9.716666666 54.716666666),
http://www.wikidata.org/entity/Q402327,Ahnsbeck,Point(10.290555555 52.610833333),
http://www.wikidata.org/entity/Q402328,Ahnsen,Point(9.095277777 52.2575),
http://www.wikidata.org/entity/Q256234,Aholfing,Point(12.466666666 48.95),
http://www.wikidata.org/entity/Q256868,Aholming,Point(12.916666666 48.733333333),
http://www.wikidata.org/entity/Q61871,Ahorn,Point(9.539722222 49.500833333),
http://www.wikidata.org/entity/Q267254,Ahorn,Point(10.95 50.233333333),
http://www.wikidata.org/entity/Q269617,Ahorntal,Point(11.433333333 49.85),
http://www.wikidata.org/entity/Q186680,Ahrbrück,Point(6.989166666 50.4825),
http://www.wikidata.org/entity/Q16104,Ahrensburg,Point(10.241111111 53.674722222),
http://www.wikidata.org/entity/Q402773,Ahrensbök,Point(10.583333333 54.016666666),
http://www.wikidata.org/entity/Q366076,Ahrensfelde,Point(13.576388888 52.575833333),
http://www.wikidata.org/entity/Q402815,Ahrenshagen-Daskow,Point(12.592222222 54.228611111),
http://www.wikidata.org/entity/Q402819,Ahrenshoop,Point(12.42 54.381388888),
http://www.wikidata.org/entity/Q402840,Ahrenshöft,Point(9.066666666 54.566666666),
http://www.wikidata.org/entity/Q402821,Ahrensmoor,Point(9.48806 53.3961),
http://www.wikidata.org/entity/Q2013002,Ahrenswohlde,Point(9.46374702 53.37778091),
http://www.wikidata.org/entity/Q402850,Ahrenviöl,Point(9.2 54.533333333),
http://www.wikidata.org/entity/Q48248,Ahrenviölfeld,Point(9.283333333 54.533333333),
http://www.wikidata.org/entity/Q259111,Aicha vorm Wald,Point(13.291111111 48.673611111),
http://www.wikidata.org/entity/Q251678,Aichach,Point(11.133333333 48.45),
http://www.wikidata.org/entity/Q403573,Aichelberg,Point(9.564166666 48.637777777),
http://www.wikidata.org/entity/Q403583,Aichen,Point(10.542222222 48.226666666),
http://www.wikidata.org/entity/Q83302,Aichhalden,Point(8.4 48.2675),
http://www.wikidata.org/entity/Q403756,Aichstetten,Point(10.079166666 47.893333333),
http://www.wikidata.org/entity/Q82684,Aichtal,Point(9.237222222 48.622777777),
http://www.wikidata.org/entity/Q81607,Aichwald,Point(9.380277777 48.758055555),
http://www.wikidata.org/entity/Q254501,Aidenbach,Point(13.1 48.566666666),
http://www.wikidata.org/entity/Q404041,Aidhausen,Point(10.435833333 50.155),
http://www.wikidata.org/entity/Q404053,Aidlingen,Point(8.896944444 48.679166666),
http://www.wikidata.org/entity/Q258021,Aiglsbach,Point(11.716666666 48.7),
http://www.wikidata.org/entity/Q405069,Ailertchen,Point(7.941944444 50.598611111),
http://www.wikidata.org/entity/Q258041,Aindling,Point(10.95 48.516666666),
http://www.wikidata.org/entity/Q406109,Ainring,Point(12.942777777 47.813611111),
http://www.wikidata.org/entity/Q384382,Aislingen,Point(10.45 48.5),
http://www.wikidata.org/entity/Q410391,Aiterhofen,Point(12.616666666 48.85),
http://www.wikidata.org/entity/Q61754,Aitern,Point(7.900555555 47.801388888),
http://www.wikidata.org/entity/Q410980,Aitrach,Point(10.09 47.94),
http://www.wikidata.org/entity/Q411004,Aitrang,Point(10.533333333 47.816666666),
http://www.wikidata.org/entity/Q417336,Aken (Elbe),Point(12.05 51.85),
http://www.wikidata.org/entity/Q673211,Aland,Point(11.64167 52.95833),
http://www.wikidata.org/entity/Q256920,Albaching,Point(12.115277777 48.1125),
http://www.wikidata.org/entity/Q522404,Albbruck,Point(8.129166666 47.589166666),
http://www.wikidata.org/entity/Q499889,Albersdorf,Point(9.2875 54.145555555),
http://www.wikidata.org/entity/Q818890,Albersdorf,Point(11.774444444 50.903055555),
http://www.wikidata.org/entity/Q83084,Albershausen,Point(9.565 48.691388888),
